playerID,awardID,yearID,lgID,tie,notes
bondto01,Pitching Triple Crown,1877,NL,,
hinespa01,Triple Crown,1878,NL,,
heckegu01,Pitching Triple Crown,1884,AA,,
radboch01,Pitching Triple Crown,1884,NL,,
oneilti01,Triple Crown,1887,AA,,
keefeti01,Pitching Triple Crown,1888,NL,,
clarkjo01,Pitching Triple Crown,1889,NL,,
duffyhu01,Triple Crown,1894,NL,,
rusieam01,Pitching Triple Crown,1894,NL,,
lajoina01,Triple Crown,1901,AL,,
youngcy01,Pitching Triple Crown,1901,AL,,
mathech01,Pitching Triple Crown,1905,NL,,
wadderu01,Pitching Triple Crown,1905,AL,,
bresnro01,Baseball Magazine All-Star,1908,ML,,C
bresnro01,Baseball Magazine All-Star,1908,NL,,C
brownmo01,Baseball Magazine All-Star,1908,NL,,P1
brownmo01,Baseball Magazine All-Star,1908,ML,,P4
chaseha01,Baseball Magazine All-Star,1908,AL,,1B
chaseha01,Baseball Magazine All-Star,1908,ML,,1B
clarkfr01,Baseball Magazine All-Star,1908,ML,,LF
clarkfr01,Baseball Magazine All-Star,1908,NL,,LF
cobbty01,Baseball Magazine All-Star,1908,AL,,RF
cobbty01,Baseball Magazine All-Star,1908,ML,,RF
crawfsa01,Baseball Magazine All-Star,1908,AL,,CF
crigelo01,Baseball Magazine All-Star,1908,AL,,C
devliar01,Baseball Magazine All-Star,1908,ML,,3B
devliar01,Baseball Magazine All-Star,1908,NL,,3B
donlimi01,Baseball Magazine All-Star,1908,NL,,CF
donlimi01,Baseball Magazine All-Star,1908,ML,,CF
donovbi01,Baseball Magazine All-Star,1908,AL,,P5
eversjo01,Baseball Magazine All-Star,1908,NL,,2B
jossad01,Baseball Magazine All-Star,1908,AL,,P4
klingjo01,Baseball Magazine All-Star,1908,ML,,C
klingjo01,Baseball Magazine All-Star,1908,NL,,C
lajoina01,Baseball Magazine All-Star,1908,AL,,2B
lajoina01,Baseball Magazine All-Star,1908,ML,,2B
lordha01,Baseball Magazine All-Star,1908,AL,,3B
mathech01,Baseball Magazine All-Star,1908,ML,,P2
mathech01,Baseball Magazine All-Star,1908,NL,,P2
mathech01,Pitching Triple Crown,1908,NL,,
reulbed01,Baseball Magazine All-Star,1908,NL,,P5
ruckena01,Baseball Magazine All-Star,1908,ML,,P5
ruckena01,Baseball Magazine All-Star,1908,NL,,P3
schulfr01,Baseball Magazine All-Star,1908,NL,,RF
stonege01,Baseball Magazine All-Star,1908,AL,,LF
sullibi03,Baseball Magazine All-Star,1908,AL,,C
tennefr02,Baseball Magazine All-Star,1908,NL,,1B
wadderu01,Baseball Magazine All-Star,1908,AL,,P3
wagneho01,Baseball Magazine All-Star,1908,ML,,SS
wagneho01,Baseball Magazine All-Star,1908,NL,,SS
wallabo01,Baseball Magazine All-Star,1908,AL,,SS
walshed01,Baseball Magazine All-Star,1908,ML,,P1
walshed01,Baseball Magazine All-Star,1908,AL,,P1
willivi01,Baseball Magazine All-Star,1908,NL,,P4
youngcy01,Baseball Magazine All-Star,1908,ML,,P3
youngcy01,Baseball Magazine All-Star,1908,AL,,P2
adamsba01,Baseball Magazine All-Star,1909,NL,,P5
adamsba01,Baseball Magazine All-Star,1909,ML,,P4
bresnro01,Baseball Magazine All-Star,1909,NL,,C3
brownmo01,Baseball Magazine All-Star,1909,NL,,P2
brownmo01,Baseball Magazine All-Star,1909,ML,,P3
bushdo01,Baseball Magazine All-Star,1909,AL,,SS
camniho01,Baseball Magazine All-Star,1909,NL,,P4
carribi02,Baseball Magazine All-Star,1909,AL,,C1
carribi02,Baseball Magazine All-Star,1909,ML,,C2
chancfr01,Baseball Magazine All-Star,1909,NL,,1B
chaseha01,Baseball Magazine All-Star,1909,ML,,1B
chaseha01,Baseball Magazine All-Star,1909,AL,,1B
clarkfr01,Baseball Magazine All-Star,1909,NL,,LF
clarkfr01,Baseball Magazine All-Star,1909,ML,,LF
cobbty01,Baseball Magazine All-Star,1909,AL,,RF
cobbty01,Baseball Magazine All-Star,1909,ML,,RF
cobbty01,Triple Crown,1909,AL,,
collied01,Baseball Magazine All-Star,1909,ML,,2B
collied01,Baseball Magazine All-Star,1909,AL,,2B
crawfsa01,Baseball Magazine All-Star,1909,AL,,LF
devliar01,Baseball Magazine All-Star,1909,NL,,3B
eversjo01,Baseball Magazine All-Star,1909,NL,,2B
gibsoge01,Baseball Magazine All-Star,1909,NL,,C2
gibsoge01,Baseball Magazine All-Star,1909,ML,,C3
hofmaso01,Baseball Magazine All-Star,1909,NL,,RF
johnswa01,Baseball Magazine All-Star,1909,ML,,P6
johnswa01,Baseball Magazine All-Star,1909,AL,,P3
klingjo01,Baseball Magazine All-Star,1909,ML,,C1
klingjo01,Baseball Magazine All-Star,1909,NL,,C1
leachto01,Baseball Magazine All-Star,1909,NL,,CF
lordha01,Baseball Magazine All-Star,1909,AL,,3B
lordha01,Baseball Magazine All-Star,1909,ML,,3B
mathech01,Baseball Magazine All-Star,1909,ML,,P1
mathech01,Baseball Magazine All-Star,1909,NL,,P1
mullige01,Baseball Magazine All-Star,1909,AL,,P4
planked01,Baseball Magazine All-Star,1909,AL,,P2
planked01,Baseball Magazine All-Star,1909,ML,,P5
reulbed01,Baseball Magazine All-Star,1909,NL,,P3
speaktr01,Baseball Magazine All-Star,1909,ML,,CF
speaktr01,Baseball Magazine All-Star,1909,AL,,CF
streega01,Baseball Magazine All-Star,1909,AL,,C3
sullibi03,Baseball Magazine All-Star,1909,AL,,C2
wagneho01,Baseball Magazine All-Star,1909,NL,,SS
wagneho01,Baseball Magazine All-Star,1909,ML,,SS
walshed01,Baseball Magazine All-Star,1909,AL,,P1
walshed01,Baseball Magazine All-Star,1909,ML,,P2
woodjo02,Baseball Magazine All-Star,1909,AL,,P5
archeji01,Baseball Magazine All-Star,1910,ML,,C2
archeji01,Baseball Magazine All-Star,1910,NL,,C2
bendech01,Baseball Magazine All-Star,1910,ML,,P4
bendech01,Baseball Magazine All-Star,1910,AL,,P3
chancfr01,Baseball Magazine All-Star,1910,NL,,1B
chaseha01,Baseball Magazine All-Star,1910,ML,,1B
chaseha01,Baseball Magazine All-Star,1910,AL,,1B
cobbty01,Baseball Magazine All-Star,1910,ML,,RF
cobbty01,Baseball Magazine All-Star,1910,AL,,RF
coleki01,Baseball Magazine All-Star,1910,NL,,P3
coombja01,Baseball Magazine All-Star,1910,AL,,P2
coombja01,Baseball Magazine All-Star,1910,ML,,P3
devliar01,Baseball Magazine All-Star,1910,ML,,3B
devliar01,Baseball Magazine All-Star,1910,NL,,3B
eversjo01,Baseball Magazine All-Star,1910,NL,,2B
gibsoge01,Baseball Magazine All-Star,1910,ML,,C1
gibsoge01,Baseball Magazine All-Star,1910,NL,,C1
johnswa01,Baseball Magazine All-Star,1910,ML,,P5
lajoina01,Baseball Magazine All-Star,1910,AL,,2B
lajoina01,Baseball Magazine All-Star,1910,ML,,2B
leachto01,Baseball Magazine All-Star,1910,NL,,CF
lordha01,Baseball Magazine All-Star,1910,AL,,3B
mageesh01,Baseball Magazine All-Star,1910,ML,,LF
mageesh01,Baseball Magazine All-Star,1910,NL,,LF
mathech01,Baseball Magazine All-Star,1910,NL,,P1
mathech01,Baseball Magazine All-Star,1910,ML,,P2
ruckena01,Baseball Magazine All-Star,1910,NL,,P2
schulfr01,Baseball Magazine All-Star,1910,NL,,RF
speaktr01,Baseball Magazine All-Star,1910,ML,,CF
speaktr01,Baseball Magazine All-Star,1910,AL,,CF
stonege01,Baseball Magazine All-Star,1910,AL,,LF
sweened01,Baseball Magazine All-Star,1910,AL,,C2
thomair01,Baseball Magazine All-Star,1910,AL,,C1
wagneho01,Baseball Magazine All-Star,1910,NL,,SS
wagneho01,Baseball Magazine All-Star,1910,ML,,SS
wallabo01,Baseball Magazine All-Star,1910,AL,,SS
walshed01,Baseball Magazine All-Star,1910,AL,,P1
walshed01,Baseball Magazine All-Star,1910,ML,,P1
alexape01,Baseball Magazine All-Star,1911,NL,,P3
alexape01,Baseball Magazine All-Star,1911,ML,,P3
archeji01,Baseball Magazine All-Star,1911,NL,,C4
bakerfr01,Baseball Magazine All-Star,1911,ML,,3B
bakerfr01,Baseball Magazine All-Star,1911,AL,,3B
bendech01,Baseball Magazine All-Star,1911,AL,,P4
bresnro01,Baseball Magazine All-Star,1911,ML,,C1
bresnro01,Baseball Magazine All-Star,1911,NL,,C1
bushdo01,Baseball Magazine All-Star,1911,AL,,SS
carribi02,Baseball Magazine All-Star,1911,AL,,C2
chaseha01,Baseball Magazine All-Star,1911,AL,,1B
chaseha01,Baseball Magazine All-Star,1911,ML,,1B
clarkfr01,Baseball Magazine All-Star,1911,ML,,LF
clarkfr01,Baseball Magazine All-Star,1911,NL,,LF
cobbty01,Baseball Magazine All-Star,1911,AL,,CF
